Title,Geek Rating,Avg rating,Num of voters,Price,Year,Complexity,Min players,Max players,Min time,Max time,Age,Type 1,Type 2
Forum Trajanum,6.506,7.23,2840,79.95,2018.0,3.46,2.0,4.0,60.0,120.0,12.0,Strategy,
Chimera Station,6.505,7.23,2830,,2017.0,3.14,2.0,4.0,60.0,90.0,13.0,Strategy,
Three Kingdoms Redux,6.504,7.86,1536,,2014.0,4.05,3.0,3.0,135.0,165.0,14.0,Strategy,
Yggdrasil,6.504,7.04,3978,,2011.0,2.6,1.0,6.0,90.0,90.0,13.0,Strategy,Thematic
Fortune and Glory: The Cliffhanger Game,6.503,7.1,3878,,2011.0,2.88,1.0,8.0,90.0,240.0,12.0,Thematic,
Witness,6.502,7.25,2683,,2014.0,1.5,4.0,4.0,15.0,15.0,13.0,Party,Thematic
Deep Space D-6,6.502,7.17,3461,,2015.0,1.68,1.0,1.0,30.0,30.0,10.0,Thematic,
Unlock!: Escape Adventures – Squeek & Sausage,6.502,7.17,2994,15.6,2017.0,2.09,1.0,6.0,45.0,75.0,10.0,Thematic,
Flick of Faith,6.501,7.37,2448,,2019.0,1.24,2.0,4.0,15.0,40.0,8.0,Family,
Honshū,6.501,6.92,5023,,2016.0,1.94,2.0,5.0,30.0,30.0,8.0,Family,
The Game,6.5,6.71,11412,14.95,2015.0,1.24,1.0,5.0,20.0,20.0,8.0,Family,
Beast,6.5,7.63,2156,59.99,2023.0,2.92,2.0,4.0,60.0,120.0,14.0,Strategy,Thematic
Sons of Anarchy: Men of Mayhem,6.5,7.25,2917,38.99,2014.0,2.56,3.0,4.0,90.0,90.0,13.0,Thematic,
Fallout,6.499,6.92,7486,55.99,2017.0,3.01,1.0,4.0,120.0,180.0,14.0,Thematic,
Quartermaster General,6.499,7.3,2701,,2014.0,2.29,2.0,6.0,90.0,90.0,12.0,Strategy,Wargames
Risk: Star Wars Edition,6.498,7.0,4211,65.04,2015.0,1.85,2.0,4.0,30.0,45.0,10.0,Thematic,
Castles of Mad King Ludwig: Collector's Edition,6.498,8.38,1104,,2022.0,2.53,1.0,5.0,60.0,90.0,13.0,Strategy,
Hoplomachus: Victorum,6.497,8.54,1097,,2023.0,3.48,1.0,1.0,90.0,90.0,14.0,Strategy,
Power Grid: Factory Manager,6.497,6.84,6015,38.26,2009.0,3.0,2.0,5.0,60.0,60.0,12.0,Strategy,
Machi Koro,6.496,6.61,32326,20.49,2012.0,1.53,2.0,4.0,30.0,30.0,10.0,Family,
Massive Darkness,6.496,7.12,4717,,2017.0,2.55,1.0,6.0,120.0,120.0,14.0,Thematic,
Warhammer Quest,6.495,7.49,2528,,1995.0,2.69,1.0,4.0,120.0,120.0,12.0,Thematic,
Dice Throne,6.495,7.67,2000,223.5,2018.0,2.15,2.0,6.0,20.0,40.0,8.0,Family,
Vanuatu,6.494,7.22,2753,49.99,2011.0,3.3,2.0,5.0,90.0,90.0,12.0,Strategy,
1812: The Invasion of Canada,6.494,7.34,2383,80.0,2012.0,2.19,2.0,5.0,90.0,90.0,10.0,Strategy,Wargames
Battles of Westeros,6.493,7.24,2987,210.3,2010.0,3.22,2.0,2.0,60.0,120.0,12.0,Thematic,Wargames
La Isla,6.493,6.87,5543,,2014.0,2.25,2.0,4.0,30.0,60.0,10.0,Family,Strategy
Legend of the Five Rings: The Card Game,6.492,7.37,2761,29.99,2017.0,4.01,2.0,2.0,45.0,90.0,14.0,Customizable,
Stick 'Em,6.492,7.04,3598,,1993.0,1.91,3.0,8.0,30.0,60.0,10.0,Strategy,
No Retreat! The Russian Front,6.491,7.75,1684,,2011.0,3.14,2.0,2.0,360.0,360.0,14.0,Wargames,
Atiwa,6.491,7.53,2005,64.99,2022.0,2.73,1.0,4.0,30.0,120.0,12.0,Strategy,
Primordial Soup,6.49,6.92,4702,114.0,1997.0,2.73,3.0,4.0,90.0,90.0,12.0,Strategy,
Claustrophobia 1643,6.49,8.03,1475,,2019.0,2.67,2.0,2.0,45.0,90.0,14.0,Thematic,
Whistle Stop,6.489,7.07,3524,49.99,2017.0,2.76,2.0,5.0,75.0,75.0,13.0,Strategy,
On Tour,6.489,6.92,4940,44.0,2019.0,1.43,1.0,8.0,20.0,20.0,7.0,Family,
For the People,6.489,7.77,1666,,1998.0,3.73,2.0,2.0,360.0,360.0,12.0,Wargames,
Circle the Wagons,6.488,7.08,3424,,2017.0,1.64,2.0,2.0,15.0,15.0,8.0,Family,
Blueprints,6.488,6.8,6784,26.24,2013.0,1.69,2.0,4.0,30.0,30.0,14.0,Family,
Crisis,6.487,7.51,1981,,2016.0,3.07,1.0,5.0,45.0,120.0,14.0,Strategy,
Here I Stand: 500th Anniversary Edition,6.487,8.55,1019,,2017.0,4.53,2.0,6.0,180.0,360.0,14.0,Wargames,
Chronicles of Crime: 1900,6.487,7.99,1707,,2021.0,1.82,1.0,4.0,60.0,90.0,12.0,Thematic,
Escape from the Aliens in Outer Space,6.487,6.93,4862,34.4,2010.0,1.92,2.0,8.0,20.0,45.0,12.0,Strategy,Thematic
Evergreen,6.486,7.5,2022,39.99,2022.0,2.11,1.0,4.0,45.0,45.0,8.0,Family,
Hansa,6.486,6.88,5159,,2004.0,2.34,2.0,4.0,60.0,60.0,10.0,Strategy,
Tiny Epic Zombies,6.486,6.96,5228,,2018.0,2.48,1.0,5.0,30.0,45.0,14.0,Thematic,
Café,6.486,7.29,2641,34.99,2020.0,2.02,1.0,4.0,20.0,45.0,8.0,Abstract,Strategy
Forest Shuffle,6.485,7.51,2027,29.99,2023.0,2.15,2.0,5.0,40.0,60.0,10.0,Family,
Caylus Magna Carta,6.484,6.89,4965,,2007.0,2.87,2.0,4.0,45.0,75.0,10.0,Strategy,
Claim,6.484,6.96,4568,,2017.0,1.69,2.0,2.0,25.0,25.0,10.0,Family,
Witch's Brew,6.484,7.01,3829,,2008.0,1.87,3.0,5.0,30.0,60.0,9.0,Family,Strategy
Rise of Augustus,6.482,6.73,8180,,2013.0,1.64,2.0,6.0,30.0,30.0,8.0,Family,
Pathfinder Adventure Card Game: Skull & Shackles – Base Set,6.482,7.3,2664,59.99,2014.0,2.93,1.0,4.0,90.0,90.0,13.0,Customizable,Thematic
Plague Inc.: The Board Game,6.482,7.37,3237,43.97,2017.0,2.15,1.0,4.0,60.0,60.0,14.0,Strategy,
Steam Park,6.48,6.83,5981,36.32,2013.0,2.12,2.0,4.0,60.0,60.0,10.0,Family,
Spirits of the Wild,6.48,7.35,2429,,2018.0,1.38,2.0,2.0,15.0,30.0,10.0,Family,
Poker,6.48,6.72,10797,,1810.0,2.42,2.0,10.0,60.0,60.0,12.0,Strategy,
Undaunted: Stalingrad,6.48,8.69,1028,,2022.0,2.55,2.0,2.0,45.0,60.0,14.0,Wargames,
Exit: The Game – The Sinister Mansion,6.479,7.27,2485,14.95,2018.0,2.54,1.0,4.0,45.0,90.0,12.0,Thematic,
Watson & Holmes,6.479,7.28,2592,,2015.0,2.13,2.0,7.0,45.0,75.0,12.0,Thematic,
Fairy Tale,6.477,6.71,8874,,2004.0,1.77,2.0,5.0,30.0,30.0,10.0,Family,Strategy
Colossal Arena,6.476,6.76,7245,,1997.0,2.02,2.0,5.0,40.0,60.0,8.0,Family,Strategy
Aeon's End: Outcasts,6.476,8.55,994,,2020.0,3.0,1.0,4.0,60.0,60.0,14.0,Strategy,
Cleopatra and the Society of Architects,6.475,6.8,6546,,2006.0,2.28,3.0,5.0,60.0,60.0,10.0,Family,Strategy
Lands of Galzyr,6.475,8.21,1289,,2022.0,1.6,1.0,4.0,60.0,150.0,14.0,Thematic,
The Thing: The Boardgame,6.474,7.7,1852,,2022.0,2.96,1.0,8.0,60.0,90.0,14.0,Thematic,
Princes of the Renaissance,6.474,7.32,2314,39.99,2003.0,3.51,3.0,6.0,180.0,180.0,12.0,Strategy,
18Chesapeake,6.474,7.73,1560,,2020.0,3.85,2.0,6.0,180.0,180.0,13.0,Strategy,
Skulls of Sedlec,6.474,7.42,2106,,2020.0,1.26,2.0,3.0,20.0,20.0,8.0,Family,
Genotype: A Mendelian Genetics Game,6.474,7.49,1993,54.99,2021.0,2.8,1.0,5.0,45.0,90.0,14.0,Strategy,
Pictures,6.472,7.21,2703,39.99,2019.0,1.02,3.0,5.0,20.0,30.0,8.0,Family,Party
GIPF,6.472,7.09,3261,39.99,1996.0,2.78,2.0,2.0,30.0,60.0,9.0,Abstract,
Manoeuvre,6.472,7.29,2450,,2008.0,2.11,2.0,2.0,60.0,60.0,12.0,Wargames,
Kraftwagen,6.472,7.23,2564,,2015.0,2.83,2.0,4.0,75.0,75.0,10.0,Strategy,
Castle Panic,6.471,6.65,15946,34.95,2009.0,1.66,1.0,6.0,30.0,60.0,8.0,Family,
